HD,HIP,SpType,log_Li,log_Rhk,BV,Delta_Mv,FeH
10307,7918,G2,1.92,-5.03,0.618,137,+0.05
95128,53721,G0,1.81,-5.02,0.624,337,+0.06
43587,29860,G0,1.83,-5.00,0.610,266,-0.20
68168,40133,G0,1.50,-5.03,0.213,,
80606,45982,G5,1.07,-5.09,0.765,249,+0.32
98618,55459,G5,1.58,-5.00,0.642,32,+0.05
115617,64924,G5,1.20,-5.04,0.709,65,-0.03
3651,3093,K0,0.59,-5.02,0.850,279,+0.12
97037,54582,G0,1.58,-5.02,0.613,318,-0.14
92788,52409,G5,1.22,-5.05,0.694,305,+0.33
217014,113357,G5,1.32,-5.08,0.666,373,+0.20
21774,16405,G5,1.20,-5.07,0.680,390,+0.30
88072,49756,G0,1.34,-5.03,0.647,70,
186408,96895,G2,1.23,-5.10,0.643,428,+0.10
143761,78459,G2,1.33,-5.08,0.612,369,-0.21
10145,7902,G5,0.95,-5.01,0.691,167,+0.02
136925,75281,G0,1.05,-5.01,0.656,255,-0.38
4308,3497,G3,1.02,-5.05,0.655,-29,-0.31
186427,96901,G5,0.99,-5.08,0.661,261,+0.08
135204,74537,K0,0.55,-5.11,0.763,79,-0.08
135101,74432,G7,0.60,-5.01,0.743,425,+0.10
1461,1499,G0,0.86,-5.03,0.674,322,+0.43
157347,85042,G5,0.43,-5.04,0.680,149,-0.02
53706,34069,K0,0.43,-5.01,0.779,-380,-0.22
9407,7339,G6,0.82,-5.01,0.686,106,+0.03
138573,76114,G5,0.91,-5.00,0.656,61,-0.03
187123,97336,G5,0.88,-5.03,0.661,431,+0.13
106166,59532,G4,0.70,-5.03,0.701,327,+0.15
80367,45737,K0,-0.02,-5.01,0.860,168,
168009,89474,G2,0.91,-5.08,0.641,215,-0.03
168746,90004,G5,0.58,-5.05,0.713,399,-0.08
164595,88194,G2,0.83,-5.00,0.635,-67,-0.07
157214,84862,G0,0.00,-5.04,0.619,4,-0.58
